url	download_complete
mhcid.ics.uci.edu/admissions/online-information-sessions	complete
www.ics.uci.edu/prospective/vi/degrees/software-engineering	complete
www.ics.uci.edu/~ihler/code	incomplete
www.ics.uci.edu/~jajones	incomplete
www.ics.uci.edu/computing/services/msoffice.php	complete
ganglia.ics.uci.edu?c=datalab&m=load_one&r=hour&s=by%20name&hc=4&mc=2	complete
ganglia.ics.uci.edu?p=2&c=misc-inst&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524966786	complete
www.ics.uci.edu/~kay/courses/31/f16.html	complete
mailman.ics.uci.edu/mailman/admin/cypress	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=HW4.pdf	complete
sdcl.ics.uci.edu	incomplete
woda15.ics.uci.edu	complete
www.ics.uci.edu/community/news/spotlight_vuong.php	complete
www.ics.uci.edu/community/alumni/index.php/stayconnected	complete
sli.ics.uci.edu/PmWiki/BasicEditing	complete
www.ics.uci.edu/about/annualreport/2006-07/donors.php	complete
www.ics.uci.edu/~thornton/ics32/Notes/sum_numbers3.py	complete
mailman.ics.uci.edu/mailman/listinfo/cypress	complete
sli.ics.uci.edu/Classes/2013S-77B?action=download&upname=Lab1.m	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/~ihler/wedding.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
ganglia.ics.uci.edu?c=sensorium&h=sensorium-6.ics.uci.edu&p=2	complete
mailman.ics.uci.edu/mailman/subscribe/informatics-onetimelecturers	complete
ganglia.ics.uci.edu?p=2&c=misc-rsh&h=csc64-1.ics.uci.edu	complete
emj.ics.uci.edu/teaching	complete
sli.ics.uci.edu/Classes-2008F/Discussion	complete
www.ics.uci.edu/prospective/zh-tw/uci/bren-school	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-64.ics.uci.edu	complete
www.ics.uci.edu/~stasio/Papers/jsy04-abs.html	complete
mailman.ics.uci.edu/mailman/options/46-tutors	complete
vision.ics.uci.edu/papers/GhiasiF_ECCV_2016	complete
www.ics.uci.edu/about/visit_fromLAX.php	complete
vision.ics.uci.edu/papers/HallmanF_CVPR_2015	complete
www.ics.uci.edu/~thornton/ics32/index.html	complete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	complete
www.ics.uci.edu/%7Ewscacchi/Pubs-SF.html	complete
www.ics.uci.edu/~kay/courses/i41/hw/lab0.html	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
www.ics.uci.edu/~bdonyana	complete
computableplant.ics.uci.edu/gallery/gallery.html	complete
sli.ics.uci.edu/Classes/2013S-77B?action=login	complete
